character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,d4858d886e2a,20,openai,gpt-4o,charglm-4,1.4,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,4,0.5405,1,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,1,ea439057bb1c,20,openai,gpt-4o,charglm-4,1.6,True,3,4,0.5,1,2,5,0.5588000000000001,3,3,4,0.5405,1,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,2,9d0e7de5c43f,20,openai,gpt-4o,charglm-4,1.2,True,3,4,0.5,1,2,3,0.5588000000000001,1,3,4,0.5405,1,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,3,63d3ca5a502c,20,openai,gpt-4o,charglm-4,1.2,True,3,4,0.5,1,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,6d5cebba2464,20,openai,gpt-4o,charglm-4,1.6,True,3,4,0.5,1,2,5,0.5588000000000001,3,3,4,0.5405,1,4,5,0.8611,1,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,0,78440112f0be,20,openai,gpt-4o,charglm-4,0.4,True,3,4,0.5,1,2,3,0.5588000000000001,1,3,3,0.5405,0,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,1,e2b28a504d5b,20,openai,gpt-4o,charglm-4,1.0,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,2,53102550a0ca,20,openai,gpt-4o,charglm-4,1.0,True,3,3,0.5,0,2,5,0.5588000000000001,3,3,3,0.5405,0,4,4,0.8611,0,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,3,ee235844602c,20,openai,gpt-4o,charglm-4,0.4,True,3,3,0.5,0,2,3,0.5588000000000001,1,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,0,b9e9f4458149,20,openai,gpt-4o,charglm-4,0.4,True,3,3,0.5,0,2,3,0.5588000000000001,1,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
