character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,fc5633c0159d,20,claude,claude-sonnet-4-5,charglm-4,0.8,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,4,0.8611,0,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,1,065f62e0d921,20,claude,claude-sonnet-4-5,charglm-4,1.0,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,2,9806b42592e7,20,claude,claude-sonnet-4-5,charglm-4,1.0,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,3,e1bc4ee276bc,20,claude,claude-sonnet-4-5,charglm-4,0.8,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,4,0.8611,0,4,2,0.6,2
Harry Potter,apprentice_confusion,The Apprentice's Confusion,0,f575225466e1,20,claude,claude-sonnet-4-5,charglm-4,1.0,True,3,3,0.5,0,2,4,0.5588000000000001,2,3,3,0.5405,0,4,5,0.8611,1,4,2,0.6,2
Harry Potter,authority_confrontation,The Authority Confrontation,0,18dbd645316f,20,claude,claude-sonnet-4-5,charglm-4,0.4,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,5,0.8611,1,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,1,05545f9d9783,20,claude,claude-sonnet-4-5,charglm-4,0.2,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,3,0.5405,0,4,4,0.8611,0,4,3,0.6,1
Harry Potter,authority_confrontation,The Authority Confrontation,2,d84e881b235d,20,claude,claude-sonnet-4-5,charglm-4,0.4,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,5,0.6,1
Harry Potter,authority_confrontation,The Authority Confrontation,3,fe5e872aa7d1,20,claude,claude-sonnet-4-5,charglm-4,0.0,True,3,3,0.5,0,2,2,0.5588000000000001,0,3,3,0.5405,0,4,4,0.8611,0,4,4,0.6,0
Harry Potter,authority_confrontation,The Authority Confrontation,0,210b1331f9ca,20,claude,claude-sonnet-4-5,charglm-4,0.4,True,3,2,0.5,1,2,2,0.5588000000000001,0,3,2,0.5405,1,4,4,0.8611,0,4,4,0.6,0
