character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,80128070fd58,20,claude,claude-sonnet-4-5,chatharuhi,0.8,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,65a4d6413431,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,d9a4d46de5af,20,claude,claude-sonnet-4-5,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,bd10e7714881,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,96259829ebb3,20,claude,claude-sonnet-4-5,chatharuhi,0.4,True,5,4,0.0,1,4,4,0.0,0,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,6e37327f8788,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,3,0.0,2,4,4,0.0,0,3,2,0.0,1,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,ec99d26c8f71,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,c421120f6cc6,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,3,0.0,2,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,80bbfe127720,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,3,0.0,2,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,6f807ab8d221,20,claude,claude-sonnet-4-5,chatharuhi,1.0,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
