character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,7a821e3006b2,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,1ac3970cd062,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,b9ca4b59d52b,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,dd9805e190fe,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,53aa47767d11,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,4fd7e333500d,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,b1a2c138a31b,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,67c61685e4b0,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,b233516cd18f,20,gemini,gemini-2.5-flash,chatharuhi,1.0,True,5,4,0.0,1,4,5,0.0,1,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,077f8f883b2a,20,gemini,gemini-2.5-flash,chatharuhi,0.6,True,5,4,0.0,1,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,defective_purchase,The Defective Purchase,0,a271f45df09c,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,2,0.0,3,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,1,cc69987f339d,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,2,0.0,3,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,2,28d1322413a0,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,2,0.0,3,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,3,e4c5ca07304f,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,4,0.0,1,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,defective_purchase,The Defective Purchase,4,a2fcc08a2537,20,gemini,gemini-2.5-flash,chatharuhi,1.6,True,5,2,0.0,3,4,5,0.0,1,3,2,0.0,1,4,3,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,0,aabdfdfe42b3,20,gemini,gemini-2.5-flash,chatharuhi,1.6,True,5,2,0.0,3,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,1,c7be3178441c,20,gemini,gemini-2.5-flash,chatharuhi,1.6,True,5,2,0.0,3,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,2,13564dd1b6e2,20,gemini,gemini-2.5-flash,chatharuhi,1.4,True,5,3,0.0,2,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,3,f5b5f25501cd,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,4,0.0,1,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,grave_news,The Grave News,4,e91f436d9e8d,20,gemini,gemini-2.5-flash,chatharuhi,1.2,True,5,4,0.0,1,4,5,0.0,1,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,0,8f65cd3d21d4,20,gemini,gemini-2.5-flash,chatharuhi,0.8,True,5,5,0.0,0,4,5,0.0,1,3,4,0.0,1,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,high_stakes_evaluation,The High-Stakes Evaluation,1,8796188f914f,20,gemini,gemini-2.5-flash,chatharuhi,,False,5,,0.0,,4,,0.0,,3,,0.0,,4,,0.0,,3,,0.0,
