character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,bea56664778e,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,0.6,True,5,3,0.0,2,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,e58325dfedc4,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,0.6,True,5,4,0.0,1,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,9e112593ca7e,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,0.6,True,5,4,0.0,1,4,4,0.0,0,3,3,0.0,0,4,3,0.0,1,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,1837eacb3238,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,2,0.0,2,3,3,0.0,0,4,5,0.0,1,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,9d95fa84f211,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.0,True,5,3,0.0,2,4,2,0.0,2,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,1b503e5d75d3,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.0,True,5,2,0.0,3,4,3,0.0,1,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,99268f665d6d,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.4,True,5,2,0.0,3,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,4,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,00702fe26f36,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.2,True,5,3,0.0,2,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,d84f67e51fd3,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.0,True,5,3,0.0,2,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,3,0.0,0
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,02b5aea43712,20,claude,claude-sonnet-4-5,zephyr7788/RoleLLM,1.2,True,5,2,0.0,3,4,2,0.0,2,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
