character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,c4fe1caea3c5,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.6,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,e7b7252c1834,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,1.2,True,5,4,0.0,1,4,5,0.0,1,3,2,0.0,1,4,3,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,c802e670c7c5,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.2,True,5,5,0.0,0,4,4,0.0,0,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,4cd01e6c8c26,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.6,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,57982839807b,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.8,True,5,5,0.0,0,4,5,0.0,1,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,8e12576451c7,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,1.2,True,5,2,0.0,3,4,4,0.0,0,3,2,0.0,1,4,3,0.0,1,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,ff49af6ec74b,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,1.2,True,5,3,0.0,2,4,2,0.0,2,3,2,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,0871c55c0d9b,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.8,True,5,3,0.0,2,4,4,0.0,0,3,2,0.0,1,4,4,0.0,0,3,2,0.0,1
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,225b117b3a05,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,1.2,True,5,3,0.0,2,4,4,0.0,0,3,2,0.0,1,4,3,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,6391d47c591f,20,deepseek,deepseek-chat,zephyr7788/RoleLLM,0.6,True,5,3,0.0,2,4,4,0.0,0,3,3,0.0,0,4,4,0.0,0,3,2,0.0,1
