character,scenario_key,scenario_title,trial_index,session_id,turns,judge_key,judge_model,roleplayer_model,mae,parse_ok,truth_Openness,pred_Openness,conf_Openness,abserr_Openness,truth_Conscientiousness,pred_Conscientiousness,conf_Conscientiousness,abserr_Conscientiousness,truth_Extraversion,pred_Extraversion,conf_Extraversion,abserr_Extraversion,truth_Agreeableness,pred_Agreeableness,conf_Agreeableness,abserr_Agreeableness,truth_Neuroticism,pred_Neuroticism,conf_Neuroticism,abserr_Neuroticism
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,0,9c565ec140d4,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,,False,5,,0.0,,4,,0.0,,3,,0.0,,4,,0.0,,3,,0.0,
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,1,6b060495930e,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,1.2,True,5,2,0.0,3,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,2,8d634e377396,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,0.8,True,5,5,0.0,0,4,4,0.0,0,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,3,4f0bf5022b37,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,0.8,True,5,5,0.0,0,4,4,0.0,0,3,2,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,apprentice_confusion,The Apprentice’s Confusion,4,8a7d80b047cf,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,0,fb407a4befc8,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,1.0,True,5,4,0.0,1,4,4,0.0,0,3,4,0.0,1,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,1,a00bd1bbd686,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,0.8,True,5,4,0.0,1,4,4,0.0,0,3,3,0.0,0,4,5,0.0,1,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,2,d065bcb9b029,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,0.8,True,5,4,0.0,1,4,3,0.0,1,3,3,0.0,0,4,4,0.0,0,3,1,0.0,2
Abraham Lincoln,authority_confrontation,The Authority Confrontation,3,cafe7022e453,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,,False,5,,0.0,,4,,0.0,,3,,0.0,,4,,0.0,,3,,0.0,
Abraham Lincoln,authority_confrontation,The Authority Confrontation,4,03c4e7b65cd2,20,gemini,gemini-2.5-flash,zephyr7788/RoleLLM,1.6,True,5,4,0.0,1,4,2,0.0,2,3,4,0.0,1,4,2,0.0,2,3,1,0.0,2
